,sea_ice_melt_mean,sea_ice_melt_std_dev,sea_ice_melt_trend,meteoric_mean,meteoric_std_dev,meteoric_trend,net_liquid_freshwater_mean,net_liquid_freshwater_std_dev,net_liquid_freshwater_trend
118,1919.742466503206,557.048803879611,1728.657299968019,3300.6599938947984,608.8494757809563,3122.3705854774307,5220.402460398004,1165.8982796605674,4851.02788544545
119,1940.974669537246,558.7879991658516,1727.6787434418784,3339.0152714624624,606.9271224529542,3121.9301838942306,5279.989940999709,1165.7151216188058,4849.6089273361085
120,1972.059501508109,554.3899586111625,1726.7001869157375,3403.7567951776023,598.8641789273041,3121.48978231103,5375.816296685711,1153.2541375384667,4848.189969226768
121,1986.005257019807,548.2944306833311,1725.7216303895966,3443.541373453383,595.9956271425118,3121.04938072783,5429.54663047319,1144.290057825843,4846.7710111174265
122,2004.8201318634826,530.472869360126,1724.7430738634557,3487.9541976030046,571.3792692274467,3120.6089791446293,5492.774329466487,1101.8521385875727,4845.352053008085
123,2035.4875593378647,488.6382463388618,1723.7645173373148,3542.7538823702075,510.2762191804804,3120.168577561429,5578.241441708073,998.9144655193422,4843.933094898744
124,2078.1145582132995,434.59372938606117,1722.785960811174,3642.165053318045,378.8811730920837,3119.7281759782286,5720.279611531345,813.4749024781449,4842.514136789403
125,2132.4790876458546,409.4454474199238,1721.807404285033,3743.9610028624143,329.7223230296169,3119.2877743950285,5876.440090508269,739.1677704495407,4841.0951786800615
126,2163.406028417697,411.3751264007367,1720.8288477588922,3805.2272528668364,318.37217836291893,3118.847372811828,5968.633281284534,729.7473047636556,4839.67622057072
127,2157.509908235887,405.0096876294124,1719.8502912327513,3808.7350073246703,322.7655206385362,3118.4069712286278,5966.244915560557,727.7752082679485,4838.257262461379
128,2192.1397236864123,452.3372807513494,1718.8717347066104,3870.0887637462997,398.7280712174199,3117.966569645427,6062.228487432712,851.0653519687693,4836.838304352038
129,2177.184403635369,435.75582572888203,1717.8931781804697,3857.6297755829655,390.35281211408403,3117.526168062227,6034.814179218334,826.1086378429661,4835.4193462426965
130,2173.0251291257655,432.05490195361824,1716.9146216543288,3857.4754354101715,390.27156083840464,3117.0857664790265,6030.500564535937,822.3264627920229,4834.000388133355
131,2167.567563664033,433.31105079926255,1715.936065128188,3848.5050990271006,399.0745490264504,3116.6453648958263,6016.072662691134,832.3855998257129,4832.5814300240145
132,2156.361872005525,437.5552459591792,1714.957508602047,3827.696643227869,413.3259943654379,3116.2049633126258,5984.058515233394,850.8812403246171,4831.162471914673
